Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2014,60000,2,0,1,22.7,1498,89.84,5,5.75
2014,47674,1,0,1,19.1,1197,85.8,5,5.72
2014,61517,1,1,1,16.95,1197,78.9,5,4.39
2016,62946,2,0,1,15.1,2179,140,7,11.05
2015,66823,2,0,2,22.54,1396,88.73,5,4.83
2013,79494,3,0,1,33.54,998,67.04,5,2.96
2012,107000,2,0,2,21.27,1396,88.76,5,4.5
2011,55000,2,1,2,16.46,2993,258,5,19.5
2017,24000,1,1,1,14.3,1598,103.52,5,8.75
2016,20002,2,1,1,14.75,2967,245,7,67
2016,54317,1,0,1,17.4,1497,117.3,5,8.4
2016,10200,1,0,1,19.1,1197,82,5,4.99
2016,24337,2,0,1,26,1498,98.6,5,8.18
2012,79000,1,0,1,18.4,1198,86.8,5,2.9
2015,40500,2,0,1,28.09,1248,88.5,5,7.1
2016,23000,2,0,1,26.59,1248,74,5,7.05
2015,63050,1,1,1,11.1,2354,158.8,5,17.5
2008,78000,1,1,2,14.53,1794,138.1,5,3.41
2005,70000,1,0,1,15,1590,250,5,1.3
2012,66245,1,0,1,17,1497,118,5,5.68
2007,74112,2,0,1,12.05,2179,120,9,4.1
2011,87670,1,0,1,13.4,1798,157.8,5,4
2015,10000,2,1,1,18.88,1995,184,5,30
2007,62493,1,0,1,15,1586,104.68,5,1.8
2015,44620,1,0,1,20.73,1373,91.1,5,6.93
2012,66538,2,1,1,10.2,4367,308,7,70
2013,60000,2,0,1,12.99,2494,100,7,7.9
2011,20842,1,0,1,15,1086,62,5,2.78
2014,110000,2,1,1,13.01,2199,194.3,7,14.4
2011,45000,1,1,2,11.74,1796,186,5,13.5
2014,40000,3,0,2,26.6,998,58.16,5,3.15
2012,49008,1,0,1,19.7,796,46.3,5,2.88
2016,31000,1,0,1,24.7,796,47.3,5,2.15
2013,8000,1,0,1,16.95,1498,97.7,5,3.75
2019,171,1,0,1,24.7,796,47.3,5,3.6
2018,2100,1,0,1,24.07,998,67.1,5,3.6
2018,20667,1,1,1,18.9,1197,81.86,5,7.55
2015,50000,2,0,1,24.2,1498,98.6,7,4.7
2010,100030,2,0,2,18.8,1248,90,5,1.6
2011,75372,2,0,1,16.52,1991,123.7,5,3.34
2016,60475,1,1,1,18,1497,117.3,5,9.1
2019,18453,1,0,1,18.9,1197,81.86,5,6.17
2008,96578,2,0,1,22,1582,126.2,5,2.5
2016,31001,1,0,1,18.44,1198,75,5,3
2012,65900,2,0,1,22.32,1582,126.32,5,5.75
2017,26246,1,0,1,15.29,1591,121.3,5,10.75
2013,62700,1,0,2,20.51,998,67.04,5,2.85
2008,90000,1,1,1,10.2,2354,180,5,6.5
2016,36000,1,1,1,16.8,1497,118,5,9.45
2016,46000,2,0,1,27.39,1248,74,5,6.75
2017,73003,2,0,1,26,1498,98.6,5,7.75
2014,46566,2,0,1,22.54,1396,88.76,5,4.4
2015,41493,2,1,1,13,2987,265,5,42
2014,103788,2,0,1,19.01,1461,108.5,5,5.67
2016,45000,2,1,1,19.6,1461,108.45,5,11.5
2009,120000,1,0,1,18.9,998,67.1,5,1.69
2009,97359,2,0,2,17.1,1493,110,5,1.8
2016,62000,1,0,1,18.5,1197,85.8,5,3.2
2019,18373,2,1,1,22.48,1995,187.74,5,45.86
2016,60453,1,0,1,16.47,1198,74,5,5.1
2013,37000,2,0,1,17.8,1248,250,5,4.85
2010,69009,1,0,2,15.6,1196,70,5,2.4
2013,30000,2,1,1,18.88,1995,184,5,22
2012,70707,2,0,1,22.32,1582,126.32,5,4.28
2015,64677,2,0,1,20.45,1461,83.8,5,5.67
2018,3000,1,1,1,18.9,1197,81.86,5,6.2
2013,49000,2,1,2,17.05,1995,184,5,14.49
2010,71000,2,0,1,21.1,1248,73.9,5,3
2010,52000,1,0,2,19.81,1086,68.05,5,2.25
2016,35659,2,1,1,15.97,2993,258,7,43.78
2019,5377,1,0,1,16.8,1497,116.3,5,11.45
2014,65000,2,1,1,11.18,2696,184,7,10.5
2015,92708,2,0,1,22.7,1498,89.84,5,7.48
2010,48105,1,0,1,19.7,796,46.3,5,3.1
2011,46759,1,0,1,16.47,1198,74,5,2.55
2013,62000,2,0,1,22.07,1199,73.9,5,3.5
2012,35175,2,0,1,22.07,1199,73.9,5,2.59
2013,70000,2,0,1,20.77,1248,88.8,7,5.45
2017,30000,2,0,1,22.77,1498,98.59,5,6
2016,66618,2,1,1,11.36,2755,171.5,7,15.49
2010,69300,1,1,2,10.8,2497,150,5,12.5
2017,148000,2,0,1,23.4,1248,74,5,4.75
2017,22000,1,0,1,18.88,999,123.24,5,7.85
2013,75000,2,0,1,16.8,1493,110,5,6
2016,43706,1,0,1,17.57,1193,88.7,5,4
2011,42000,2,1,1,14.4,2967,241.4,5,28.75
2012,65000,2,0,1,22.3,1248,74,5,2.5
2015,76128,2,0,1,26.59,1248,74,5,5.5
2010,39852,1,0,1,16,1368,90,5,1.59
2017,18673,1,0,1,18.6,1197,81.83,5,6.22
2016,11583,1,0,1,21.1,814,55.2,5,2.75
2007,82000,1,0,2,15,1086,250,5,1.35
2017,50000,2,1,1,17.9,2143,136,5,25
2014,77000,1,0,1,23.1,998,67.04,5,2.8
2014,54890,1,0,2,17.8,1199,76.8,5,2.45
2016,21000,1,1,1,19,1199,88.7,5,6.35
2009,58557,2,1,3,16.07,1995,181,5,8
2014,70000,2,0,1,19.01,1461,108.45,5,8.25
2017,16000,1,1,1,17.01,1499,110.4,5,5.95
2018,8899,2,0,1,13.68,2393,147.8,7,19.92
2016,83629,2,0,1,25.44,936,56.3,5,3.15
2014,35059,1,1,1,17.21,1798,189,4,5.75
2018,30552,2,1,1,10.91,3198,197.2,7,32.44
2016,44875,2,1,2,22.32,1582,126.32,5,8.01
2017,25095,1,0,1,18.16,1196,86.8,5,6.48
2007,59000,1,0,1,16.1,796,37,4,0.75
2014,36000,2,0,1,26,1498,98.6,5,5
2012,37000,2,0,1,16,2179,140,7,7.75
2010,90000,2,0,1,20,1399,68,5,2.6
2018,17000,1,0,1,17,1497,121.36,5,9.2
2015,42575,1,0,1,18.6,1197,81.83,5,5.05
2012,131000,2,0,1,12.99,2494,100,7,9.6
2013,74000,2,0,1,20.46,1461,83.8,5,5.5
2013,47234,2,0,1,12.99,2494,100.6,8,9.35
2009,231673,1,0,1,17,1497,118,5,2.6
2016,10000,1,0,1,24.07,998,67.1,5,3.5
2016,49389,1,0,1,19.49,1198,67.04,5,4.26
2016,12000,1,1,2,23.1,998,67.04,5,4.25
2010,65000,1,0,2,11.7,1796,178,5,11.75
2013,177000,2,0,1,23.5,1498,88.7,5,3.5
2015,89000,1,0,1,17.01,1591,121.3,5,7.5
2009,72000,1,1,3,15,1396,100,5,3.25
2012,49000,1,0,1,17.5,1298,85.8,5,4.9
2014,51355,2,1,1,14.84,2143,170,5,27
2017,13460,1,0,1,18.6,1197,81.86,5,8.91
2014,35642,1,1,1,17.01,1591,121.4,5,6.69
2014,52895,2,0,1,17.3,1998,163.7,5,6.02
2010,93000,1,0,1,14.28,1798,138.03,5,4.5
2011,70000,1,0,1,19,998,66.1,5,2
2012,32048,2,0,1,23.08,1461,63.1,5,2.4
2013,4700,1,0,1,25.4,624,37.48,4,1.2
2014,71800,2,0,1,23.4,1248,74,5,2.9
2016,45000,2,1,1,17.32,1968,184,5,27
2016,15388,2,0,1,25.8,1498,98.6,5,7.5
2004,98798,1,0,1,14.7,1599,104,5,1.5
2016,43000,2,1,1,14.16,1968,174.3,5,39.5
2012,85112,2,0,1,23.2,1248,73.94,5,3.39
2018,37804,2,0,1,15.4,2179,120,7,12.4
2014,45000,2,0,1,28.09,1248,88.5,5,6.85
2011,116000,2,0,2,21.43,1364,138,5,5.75
2015,100073,2,0,2,25,1396,69,5,2
2006,165000,1,0,1,16.1,796,37,4,0.9
2015,22000,1,0,1,16.47,1198,74,5,3.8
2017,9500,1,1,1,14.62,1999,149.92,5,16.35
2012,152000,2,1,1,11.5,2982,169,7,16.5
2019,17705,1,0,1,21.4,1197,83.1,5,8.7
2016,12000,1,0,1,21.4,1197,83.1,5,6.1
2013,51000,2,1,1,23.8,1998,112,5,21.94
2009,42000,2,1,2,13,2987,210,5,22
2015,51000,1,0,1,20.92,998,67.1,5,2.65
2017,42527,1,0,1,20.4,1197,81.8,5,5.27
2014,45000,2,0,1,22.1,1248,74,5,2.48
2011,70000,2,0,1,12.8,2494,102,8,6
2009,92000,2,0,1,11.5,2982,171,7,8.9
2012,57156,2,1,2,18.88,1995,184,5,18
2016,53211,1,0,1,16.8,1395,138.02,5,11.64
2019,80000,2,0,1,11.5,2982,171,7,8.99
2009,74000,2,1,1,15.5,1896,105,5,5.25
2011,37000,2,0,1,23,1396,90,5,2.95
2013,64000,2,0,2,21.02,1248,88.76,5,2.65
2013,57197,1,0,1,15.04,1598,103.6,5,4
2016,55000,2,1,1,17.6,1582,126.2,5,12.5
2014,33000,1,0,1,21.1,1197,85.8,5,3.25
2008,70000,1,0,1,13.1,1997,141.1,5,4
2012,75000,2,0,2,15.1,2179,140,7,6.25
2016,58095,2,0,1,21.66,1498,108.62,5,5.8
2015,7445,1,0,1,17.57,1193,88.7,5,5
2016,17652,2,1,1,12.9,2993,270.88,5,58.73
2018,28321,1,1,1,14.28,1798,138.03,5,17.49
2011,69000,1,0,2,19,998,66.1,5,1.95
2007,80000,1,1,1,11.1,2354,142,5,3
2014,42365,1,0,1,17,1197,80,5,5.5
2013,123000,2,1,1,12.55,2982,168.5,7,16.5
2011,40000,1,1,2,11.74,1796,186,5,14.5
2016,30112,2,0,1,27.39,1248,74,5,7.79
2017,43775,2,0,1,20.77,1248,88.76,7,8.27
2019,26013,2,1,1,12.65,2993,255,5,97.07
2012,56000,1,0,1,12.9,1598,102.5,5,2.15
2008,95000,1,1,2,12.9,1799,130,5,3
2014,41089,2,1,1,16.09,1995,184,5,28.79
2011,41988,2,1,1,20,1968,138.1,5,5.45
2013,72486,2,0,1,23.4,1248,74,5,3.95
2013,92000,2,1,1,23.3,1984,150,5,16
2013,40000,1,0,1,17.5,1298,85.8,5,4.25
2014,56000,2,1,1,12.7,2179,187.7,5,34.5
2008,125000,1,1,3,11.7,2354,177.6,5,2.6
2017,29219,2,0,1,12.99,2494,100.6,8,13.48
2018,39927,2,0,1,12.55,2982,168.5,7,32.1
2018,38593,1,0,1,18.7,1199,88.7,5,6.17
2015,32000,1,0,1,17,1497,118,5,5.5
2017,28226,2,1,1,28.4,1248,73.75,5,9.15
2014,95000,2,0,1,21.64,1461,84.8,5,4.5
2014,194000,2,0,1,12.99,2494,100.6,8,10.5
2016,14821,1,0,1,19.4,1198,86.8,5,5.37
2012,52000,1,0,1,15.04,1598,103.6,5,5.45
2016,33000,2,0,1,16,2179,140,7,9.25
2016,29200,2,0,1,23,1498,98.96,5,7.7
2012,99754,2,0,1,17.72,1968,108.49,5,7.99
2012,49000,1,0,1,20.36,1197,78.9,5,3
2005,299322,2,0,1,12.8,2494,102,8,4
2018,38310,2,0,1,20.65,1248,88.7,5,6.69
2014,56000,2,0,1,22.9,1248,74,5,4.25
2017,31300,2,1,1,21.72,1498,108.4,5,10.5
2019,11241,2,0,1,13.68,2393,147.8,8,22.55
2014,48000,1,0,2,17.01,1591,121.3,5,5.2
2019,23882,1,0,1,17.4,1497,117.3,5,11.87
2014,65000,2,0,1,26,1498,98.6,5,6.99
2011,50000,2,0,1,20.54,1598,103.6,5,5
2014,25000,2,1,1,12.19,2967,236,5,44
2015,21000,1,0,1,22.74,796,47.3,5,2.79
2012,148000,2,0,2,21.12,1248,88.8,5,2.9
2016,68000,1,0,1,15.29,1591,121.3,5,9.85
2014,52000,2,1,1,12,2987,224,7,49
2016,19000,2,0,1,16.55,2498,105,6,9.25
2011,74000,2,0,2,22.32,1582,126.3,5,3.75
2017,30279,2,0,1,26.1,1498,99,5,7.29
2016,20000,2,1,1,20.7,1496,113.98,4,23.5
2013,34834,1,0,1,14,796,35,5,2.6
2015,90000,2,0,2,21.03,1461,65,5,3.1
2016,38730,2,1,1,14.21,2143,203,5,29.98
2016,57390,2,0,1,19.01,1461,108.45,5,6.73
2016,100000,2,0,1,23.4,1248,74,5,3.5
2011,50000,1,0,1,16.47,1198,73.9,5,2.35
2017,64961,2,0,1,16,2179,140,7,16.13
2014,72465,1,0,1,16.47,1198,74,5,5.9
2012,68776,1,0,1,21.1,1197,85.8,5,3.9
2005,150000,1,0,1,14.7,1598,250,5,1.5
2012,68000,2,0,1,12.8,2494,102,7,6.95
2015,33000,2,0,1,26,1498,98.6,5,7
2017,22389,1,0,1,17,1198,73.75,5,7.23
2012,90000,2,0,1,21.5,1248,88.8,5,3.81
2012,42000,1,0,3,18.6,1197,85.8,5,4.5
2017,38767,2,0,1,19.67,1582,126.2,5,12.6
2015,21000,2,1,1,12.07,2967,241.4,7,48
2010,59136,1,0,1,19.7,796,46.3,5,2.96
2014,36000,2,0,1,25.8,1498,98.6,5,3.25
2011,95000,2,1,2,18.33,1968,167.7,5,8.5
2013,51000,2,1,1,19.5,1582,126.24,5,8.75
2011,36411,1,0,1,18.9,998,67.1,5,3.08
2017,40000,2,1,1,12.81,1999,148.31,7,41.5
2016,27300,1,0,1,17.8,1497,117.3,5,7
2011,29813,1,1,2,14.74,1991,181.03,5,11.5
2011,71000,1,0,1,20.51,998,67.04,5,2.6
2014,32000,2,0,1,22.32,1582,126.3,5,4.3
2017,19234,3,0,1,17.5,1373,80.46,7,8.35
2017,50510,2,1,1,17.06,1968,141,5,24.9
2011,102000,2,1,1,15.06,1995,177,5,13.75
2014,42277,2,0,1,24,1186,73.97,5,3.85
2014,46000,2,1,1,13,2143,201.1,5,23.25
2012,35000,2,0,1,13.6,2523,250,7,7
2015,50000,1,0,1,18.9,1197,82,5,5.75
2008,62000,1,0,2,20.36,1197,78.9,5,1.65
2012,78000,2,0,1,19.33,1968,138.1,5,6.5
2011,79000,2,0,1,17.67,1968,138.08,5,7.5
2019,6773,2,1,1,14.75,2967,245,7,72.94
2010,135000,2,0,2,11.5,2982,171,7,11
2013,36716,1,0,1,18.9,1061,67,5,3.02
2013,65060,1,0,1,21.1,814,55.2,5,3.32
2013,33000,1,0,1,19.4,1198,86.8,5,3.24
2015,11110,1,0,1,22.74,796,47.3,5,2.35
2013,63000,2,0,1,15.96,2523,62.1,7,5.5
2015,27030,1,0,1,17.8,1497,117.3,5,6.75
2015,19600,1,0,1,15,1598,103.52,5,6.15
2016,27755,1,0,1,22,1197,81.8,5,5.45
2013,20000,1,0,2,21.1,814,55.2,5,2.3
2015,24782,1,0,1,20.85,1197,83.14,5,6.21
2014,47303,1,1,1,19.34,1198,76,5,5.21
2008,71000,1,1,1,8.3,4134,250,7,11.99
2010,135000,2,0,1,17.8,1248,75,5,3.1
2017,1000,2,0,1,13.49,2179,138.03,5,7.5
2016,29000,2,0,1,20.14,1498,88.8,5,4
2016,36367,1,0,1,17.8,1497,117.3,5,7.73
2015,38000,1,0,1,17.4,1497,117.3,5,7.8
2011,83969,1,0,1,16.1,796,37,4,1.3
2014,82621,2,0,1,20.14,1498,88.8,5,4.42
2009,89000,2,1,1,12.5,1991,147.9,7,4
2016,54000,2,0,1,16,2179,140,7,13
2015,61691,2,0,1,25.8,1498,98.6,5,5.38
2011,32200,1,0,2,17,1197,80,5,3.25
2016,68630,1,1,1,20.51,998,67,5,3.87
2014,61000,2,1,2,16.96,1968,138.03,5,8.25
2018,32644,1,0,1,20.73,1373,91.1,5,9.28
2012,85000,2,1,1,11.79,2179,120,7,6.25
2008,75000,1,0,2,15.26,1150,74.9,5,1.15
2016,40347,1,0,1,20.73,1373,91.2,5,7.8
2012,60788,2,0,1,23,1396,90,5,4.5
2018,18664,1,0,1,18.7,1199,88.7,5,7.56
2017,57847,2,0,1,16,2179,140,7,16.08
2012,52237,1,0,1,17,1197,80,5,4.5
2012,128000,2,0,1,22.32,1582,126.32,5,5
2011,54000,1,0,1,19.81,1086,68.05,5,2.2
2014,49800,1,1,1,23.1,998,67.04,5,4
2012,98000,2,0,1,20.86,1199,73.9,5,2.51
2015,60095,2,0,1,25.2,1248,74,5,4.75
2008,68000,1,0,2,16,1086,66.7,5,2
2010,81402,1,0,2,20.36,1197,78.9,5,2.1
2013,38000,1,1,1,16.5,1499,110,5,6.25
2011,92239,2,1,2,11.5,2987,210,5,10.6
2017,49224,2,0,1,25.2,1248,74,5,6
2004,12000,1,0,2,16.1,796,37,4,0.45
2010,54898,1,0,3,16.1,1298,88.2,5,2.5
2018,2500,1,0,1,15.29,1591,121.3,5,12.75
2017,32838,2,1,1,17.05,1995,190,5,30.29
2006,27076,1,0,1,13.8,1299,70,5,1.6
2017,75445,2,0,1,22.7,1498,89.84,5,7.54
2015,46601,1,0,1,20.73,1373,91.1,5,6.84
2012,72000,2,1,1,18.33,1968,167.7,5,6
2017,27000,2,0,1,27.3,1498,98.6,5,8
2016,68193,2,1,1,17.11,1968,174.33,5,24.74
2017,34429,2,0,1,24,1120,70,5,5.5
2013,46000,2,1,1,12,2987,224,7,36
2013,80544,2,0,1,12.99,2494,100.6,7,11.79
2011,42000,1,0,2,16.95,1498,97.7,5,3
2011,94821,2,1,2,20,1968,138.1,5,6.75
2006,100000,1,0,1,14.49,1399,92.7,5,1.4
2014,57000,2,0,1,24.2,1498,98.6,7,5.75
2010,79894,2,0,1,21.1,1248,73.9,5,3.4
2011,44748,1,0,2,16.47,1198,73.9,5,4.89
2013,31000,1,0,1,13.24,1598,102.5,5,4.95
2013,60587,1,1,2,16.98,998,66.1,5,3.49
2011,32000,2,0,1,23.59,1364,250,5,3.85
2014,43772,1,0,1,17,1497,118,5,6.35
2017,23576,1,1,1,18.9,1197,82,5,7.08
2017,4000,2,1,1,13.6,1999,177,5,38
2012,62000,2,0,1,12.05,2179,120,8,6.25
2011,36000,1,1,1,11.74,1796,186,5,10.15
2014,80000,1,1,1,13.7,1798,157.75,5,10.75
2012,137008,2,1,1,18.1,1991,147.9,4,4.65
2010,61001,2,0,1,12.05,2179,120,8,4.75
2015,52191,1,0,1,17.1,1591,121.3,5,7.78
2016,77076,2,0,1,23,1396,90,5,6.75
2008,56000,1,1,1,16.4,1497,78,5,2.99
2013,21000,1,0,1,20.36,1197,78.9,5,2.35
2013,89429,2,0,1,25.8,1498,98.6,5,3.65
2012,45631,1,0,2,22.5,998,67.04,5,2.74
2013,53959,1,0,1,19.4,1198,86.8,5,3.5
2014,55804,1,0,1,17,1197,80,5,4.76
2016,25899,1,0,1,15.04,1598,103.2,5,6.2
2008,82000,2,0,2,18.7,1896,66,5,2.35
2014,52000,2,1,1,13,2143,204,5,24.5
2013,20000,1,0,1,13.24,1598,102.57,5,6
2017,31829,1,0,1,21.1,814,55.2,5,3.65
2016,18094,1,0,2,18.6,1197,85.8,5,6.26
2011,80000,2,0,2,19.5,1461,250,5,2.1
2015,11964,2,1,1,13.22,2967,241.4,5,32.95
2018,22684,1,0,1,18.6,1197,81.83,5,7.8
2014,43521,1,0,1,19.4,1198,86.8,5,4.25
2014,49386,1,0,1,17.5,1298,85.8,5,4.86
2017,12248,1,0,1,18.9,1197,81.86,5,4.9
2014,67771,2,0,1,11.68,2498,112,8,7.06
2015,60007,1,1,1,17.21,1798,189,4,4.5
2011,48624,1,0,1,24.07,998,67.1,5,3.22
2014,30000,2,0,1,22.07,1199,73.9,5,3.25
2016,81605,1,0,1,18.9,1197,82,5,4.53
2017,32642,2,1,1,14.84,2143,170,5,34.78
2014,34200,1,1,1,15.74,1591,121.3,5,6.5
2010,72204,1,0,1,15.7,1172,67,5,2.25
2011,156347,2,0,2,12.99,2494,100,8,8
2017,47357,2,1,1,18.49,1493,100,7,8.37
2015,61738,2,0,1,20.14,1498,88.8,5,5.39
2018,32586,2,1,1,22.48,1995,190,5,37.3
2018,40129,2,1,1,11.57,2987,254.79,5,70.8
2012,51000,2,1,1,11.74,2987,254.8,5,22.25
2018,10393,1,0,1,18.9,1197,81.86,5,6.03
2011,46000,1,1,1,13.7,1798,157.75,5,4.9
2013,21000,1,1,1,16.95,1197,78.9,5,3.96
2011,113562,2,0,1,23,1396,90,5,4.6
2011,100010,2,0,2,12.05,2179,120,8,5.5
2013,63107,1,0,1,19.4,1198,86.8,5,3.25
2017,58500,1,0,1,18.6,1197,81.83,5,6.25
2007,90000,2,0,4,10.9,2499,143,7,3
2011,108242,2,0,1,16.8,1493,110,5,4.25
2011,146300,2,0,1,11.5,2982,171,7,12.25
2011,62943,2,1,2,17.05,1995,184,5,10.95
2013,65000,2,1,1,12.55,2982,168.5,7,16.5
2018,1700,1,1,1,19,1199,88.76,5,7.8
2013,34697,1,0,1,19.81,1086,68.05,5,3.7
2012,58000,1,0,1,17,1197,80,5,4
2015,32500,2,1,1,19.59,1995,187.74,5,26.75
2016,58661,2,1,1,15.17,1968,181,5,28.03
2017,37124,1,0,1,20.4,1197,81.8,5,5.44
2017,44000,1,1,1,21.4,1197,83.1,5,6.2
2005,45200,1,0,1,13.2,1495,94,5,0.9
2016,11000,1,0,1,18.5,1197,85.8,5,3.95
2011,65000,1,0,2,26,624,35,4,0.44
2012,55005,2,0,1,20,1399,68,5,2.75
2011,81650,2,1,1,18.33,1968,167.7,5,7.5
2010,160000,2,0,2,19,1248,93,5,2.5
2015,169000,2,0,1,14.95,2489,93.7,7,5
2013,67263,1,0,1,18.9,998,67.1,5,3.6
2012,44223,1,0,1,17.6,1496,88.7,5,3.99
2015,36840,1,0,1,18.9,1197,82,5,5.64
2014,160000,2,0,1,12.99,2494,100,8,12
2008,133000,2,0,1,16.8,1405,62,5,0.7
2015,69123,2,1,1,18.88,1995,184,5,19
2017,38000,2,1,1,10.91,3198,197,7,30.48
2017,5500,1,0,1,21.56,1462,103.25,5,8.2
2015,1001,2,0,1,25.83,1498,99,5,7.55
2007,59000,1,0,3,15.26,1150,74.9,5,0.99
2011,78256,1,1,1,16.8,1497,118,5,4.15
2016,90000,1,0,1,16.95,1498,97.6,5,6.2
2016,18000,1,0,1,19.1,1197,85.8,5,4.4
2012,60000,2,0,1,20,1399,68,5,2.1
2011,130000,2,0,1,20.3,1248,75,5,2.2
2018,32851,1,0,1,18.6,1197,81.86,5,8.34
2014,32000,2,0,1,23.4,1248,74,5,4.35
2014,62700,2,0,1,22.7,1498,89.84,5,6.8
2010,71000,2,0,1,19.3,1248,73.9,5,3.3
2016,19947,1,0,1,18.9,1197,82,5,5.04
2012,91000,2,1,1,11.4,2953,153.86,7,9.2
2014,74000,2,0,1,22.07,1199,73.9,5,5.7
2018,55594,2,0,1,18.49,1493,100,7,8.48
2013,58000,2,1,1,11.2,2993,306,4,48
2012,110224,2,0,1,19.01,1461,108.45,5,6.1
2010,21002,1,0,1,22.5,998,67.04,5,2.75
2017,121000,2,0,1,24.52,1248,88.5,7,8
2010,73513,1,0,1,19.7,796,46.3,5,1.85
2015,34000,1,1,1,20.51,998,67,5,3.85
2017,28371,1,0,1,15.1,1196,73,7,4.74
2013,74755,2,0,1,19.6,1461,108.45,5,5.63
2011,25805,1,0,1,18.2,1061,64,5,2.62
2015,82603,1,0,1,13.06,1598,102.53,5,4.9
2006,110000,1,0,1,13.5,1799,130,5,2.65
2012,88000,2,0,1,16,2179,140,7,5.99
2011,110000,2,0,2,21,1461,64.1,5,2.4
2017,15000,1,0,1,21.7,999,67,5,4.25
2013,70000,2,1,1,15.15,2967,240,5,40
2008,150000,2,0,2,28.4,1248,74,5,2.7
2016,19000,1,0,1,20.63,1198,67,5,2.99
2011,37442,1,0,1,18.5,1197,80,5,3.4
2016,63111,2,1,2,18.12,1995,190,5,30.8
2012,88000,2,0,1,20.77,1248,88.8,7,5.85
2014,42355,1,0,1,18.9,1197,82,5,4
2011,75871,1,1,1,9.43,2996,254,5,14.12
2011,65000,2,0,1,17.9,1998,163.7,5,4.55
2015,69000,2,1,1,15,2987,165,5,38
2011,79232,2,0,1,21.1,1248,73.9,5,2.9
2007,220000,1,1,2,11.74,1796,186,5,6
2016,28470,1,0,1,18.6,1197,81.83,5,6.95
2014,9759,1,0,1,20.3,998,68.05,5,2.75
2014,75216,2,0,1,22.9,1248,74,5,5.1
2017,8000,1,0,1,18.6,1197,81.83,5,6.75
2014,59451,1,0,1,18.5,1197,85.8,5,3.69
2013,53996,2,0,1,22.9,1248,74,5,5.45
2018,15135,1,0,1,17.5,1199,88.7,5,9.29
2015,53000,1,1,2,16.9,1197,81.86,5,4
2013,40000,1,0,1,18,1198,86.7,5,2.9
2013,21107,1,0,1,17.1,1591,121.3,5,5.25
2014,56000,1,0,1,16.8,1497,116.3,5,5.75
2017,19623,1,0,1,15.29,1591,121.3,5,13.12
2014,70963,2,0,1,15.1,2179,140,7,7.83
2013,25755,3,0,1,26.6,998,58.16,5,3.15
2013,51450,2,0,1,12.8,2494,102,7,10.4
2012,75000,2,0,1,22.9,1248,74,5,4.35
2017,37832,1,1,1,22.5,998,67,5,5.23
2016,43041,1,0,1,18.9,1197,81.86,5,6.01
2014,97236,2,0,1,25.8,1498,98.6,5,4.4
2010,83000,2,1,1,16.07,1995,181,5,12.75
2011,65000,1,0,1,15.6,1196,70,5,2.4
2018,46007,1,0,1,17,1198,73.75,5,5.71
2015,65925,2,0,2,22.7,1498,89.84,5,5.49
2004,73500,1,0,2,13,1343,90,5,1.3
2014,55000,2,0,1,16,2179,140,7,8.5
2012,115000,2,0,1,13,2982,168.5,7,12.99
2017,31184,1,0,1,18.9,1197,81.86,5,5
2017,41747,2,1,1,28.4,1248,73.75,5,9
2016,38143,2,0,1,22.9,1248,74,5,5.22
2012,19030,1,0,1,16.47,1198,73.9,5,3.8
2019,20877,1,0,1,18.16,1197,78.9,5,7.27
2016,23555,1,0,1,22,1197,81.8,5,5.1
2013,29000,2,1,1,14.21,2143,203,5,29
2013,61000,1,0,1,18.9,998,67.1,5,2.9
2012,4187,1,0,1,26,624,35,4,1.38
2011,46000,1,0,1,13.4,1798,157.8,5,5.5
2016,28000,1,1,1,17.21,1197,103.5,5,7.25
2014,83558,2,0,1,22.32,1582,126.32,5,6.98
2017,40000,2,0,1,22.95,1248,74,5,5.25
2013,36000,1,0,1,21.1,814,55.2,5,1.95
2014,21000,2,1,1,17.11,1968,174.33,5,24.5
2013,62162,2,0,1,12.99,2494,100,7,8.31
2012,83000,2,1,1,11.74,2987,254.8,5,36
2015,58000,2,0,1,24.4,1120,71,5,5.5
2011,62332,1,1,1,11.7,2354,177.6,5,5.89
2016,50867,2,0,1,20.34,1498,103.2,5,7.95
2010,73000,1,0,1,17,1197,80,5,2.75
2012,98008,2,0,1,22.7,1582,126.24,5,6.25
2015,36000,2,0,1,20,1399,68.05,5,4.95
2019,27339,1,0,1,18.6,1197,81.83,5,6.27
2017,25000,2,0,1,23.9,1582,126.2,5,8.65
2014,37000,1,0,1,18.9,1197,82,5,3.5
2015,56000,2,1,1,14.16,1968,174.3,5,35
2015,27000,1,0,1,17.5,1298,85.8,5,4.45
2012,37000,1,0,1,18.5,1197,80,5,2.65
2017,10500,2,0,1,25.32,1198,77,5,4.7
2014,49000,2,1,1,18.23,1582,126.2,5,8.9
2017,7000,2,0,1,17.1,1956,170,5,17.45
2017,71256,2,0,1,24.3,1248,88.5,5,9.58
2012,83184,1,0,1,14.28,1798,138.03,5,6.22
2013,87284,2,0,1,15.1,2179,140,7,7.8
2016,7000,2,1,1,20.68,1995,190,5,27.75
2015,29000,2,0,2,22.54,1396,88.73,5,7
2017,33552,2,1,1,11.57,2987,254.79,5,64.87
2013,64000,2,0,2,17.3,1998,163.7,5,6.5
2011,82000,1,0,2,18.5,1197,80,5,2.7
2012,70000,1,0,2,19.4,1198,86.8,5,2.5
2013,166194,2,0,1,19.3,1461,84.8,7,3.9
